EXPID,X,Y,rot_rate_model,rot_rate_measured,C
271277,-25.735724,32.84865,0.406,0.20384029257349487,0.20215970742650516
271278,-25.734934,36.24427,0.417,-0.08115060965260913,0.4981506096526091
271279,-22.022767,39.88206,0.451,0.10824581811942703,0.342754181880573
271280,-24.424211,37.47855,0.428,-0.20992517435954827,0.6379251743595482
271281,-19.541934,31.08156,0.428,0.024648244183371748,0.40335175581662824
271282,-19.86525,30.35342,0.425,0.10777193233920596,0.31722806766079403
271283,-18.722017,33.27097,0.436,0.1356871342579455,0.3003128657420545
271284,-18.712104,35.0813,0.442,-0.19934849973019886,0.6413484997301988
271285,-14.687383,29.84044,0.439,0.0672893202506584,0.3717106797493416
271286,-19.266458,33.92007,0.436,-0.09663217382780946,0.5326321738278095
271287,-16.310198,30.62655,0.437,0.12006278539857275,0.31693721460142726
271288,-13.569331,27.39902,0.437,0.01797186462847782,0.41902813537152217
271289,-10.437057,22.79123,0.438,0.024178202509240916,0.4138217974907591
271290,-11.000173,24.29249,0.438,-0.07721472134519683,0.5152147213451969
271291,-11.404345,22.71321,0.437,-0.055358368674701015,0.492358368674701
271292,-10.147425,18.43545,0.44,0.04398784076818116,0.39601215923181887
271293,-8.89474,21.32098,0.439,0.06979898455219702,0.369201015447803
271294,-7.024258,18.80154,0.441,-0.02449809347932542,0.4654980934793254
271295,-0.513143,23.34934,0.438,-0.15566941359509665,0.5936694135950966
271296,-0.803542,26.12177,0.441,-0.19770427844212093,0.638704278442121
271400,8.558072,11.67214,0.424,0.011930856726404605,0.4120691432735954
271401,5.055706,13.86363,0.431,-0.22660847972666806,0.657608479726668
271402,-5.308154,-19.00258,0.499,-0.005009127095168051,0.5040091270951681
271403,-4.593421,-22.97885,0.495,-0.04453116676406864,0.5395311667640686
271404,-10.982629,-21.72532,0.528,-0.021300556511207054,0.5493005565112071
271406,-3.733969,-19.0536,0.492,-0.08071178557732968,0.5727117855773297
271408,-0.016548,-19.41377,0.474,-0.1614916152200261,0.6354916152200261
271409,7.647247,-23.28216,0.427,-0.22312501128501463,0.6501250112850147
271410,10.295802,-23.39033,0.412,-0.16704894834133668,0.5790489483413367
271411,10.601469,-19.77628,0.42,0.007631814122563165,0.41236818587743684
271412,13.301335,-18.15954,0.41,-0.08381437873318191,0.4938143787331819
